,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
768,3383,新世紀,"1,015,190",365,"7,925,012",8.60,8.60,7.17,7.17,-,0.79,--,0,7.17,272,0.00
769,3406,玉晶光,"2,568,839","2,913","1,219,471,070",475.00,482.00,467.00,467.00,-,17.5,467.00,8,468.50,2,22.06
770,3413,京鼎,"3,430,919","2,600","816,072,474",239.00,241.50,235.00,235.00,-,10.5,235.00,7,235.50,2,14.66
771,3416,融程電,"44,944",127,"3,530,824",79.50,79.50,78.10,78.20,-,1.0,78.20,3,78.30,1,15.77
772,3419,譁裕,"1,262,106",734,"28,113,218",22.20,22.75,22.00,22.05,-,0.7,22.05,35,22.10,1,0.00
773,3432,台端,"86,375",48,"1,233,314",14.35,14.35,14.25,14.25,-,0.1,14.25,2,14.30,4,21.92
774,3437,榮創,"5,002,863","2,985","141,531,259",28.95,29.15,27.60,27.60,-,1.75,27.55,22,27.60,5,86.25
775,3443,創意,"1,784,558","1,876","879,739,915",489.50,503.00,486.00,486.50,-,9.0,486.50,9,489.00,2,41.98
776,3450,聯鈞,"344,678",434,"18,197,847",53.40,53.40,52.50,52.60,-,0.8,52.60,6,52.70,2,21.65
777,3454,晶睿,"26,135",34,"1,976,347",76.10,76.10,75.40,75.50,-,0.6,75.50,7,75.60,1,39.12
778,3481,群創,"184,723,529","44,188","3,313,586,575",18.00,18.10,17.70,17.90,-,0.9,17.85,846,17.90,699,3.06
779,3494,誠研,"56,351",38,"292,294",5.17,5.21,5.16,5.16,-,0.14,5.16,5,5.30,20,0.00
780,3501,維熹,"69,757",72,"3,325,677",47.80,48.00,47.50,47.60,-,0.2,47.60,4,47.70,2,16.03
781,3504,揚明光,"1,200,572","1,018","116,134,073",98.00,98.00,95.70,95.70,-,3.0,95.60,14,95.70,1,0.00
782,3515,華擎,"1,237,990","1,874","306,050,002",248.00,254.50,243.50,247.50,-,4.0,246.00,10,247.50,23,14.52
783,3518,柏騰,"110,678",87,"2,519,302",22.75,23.10,22.50,22.60,-,0.15,22.60,3,22.70,1,565.00
784,3528,安馳,"36,080",27,"1,804,205",50.00,50.20,50.00,50.00,-,0.3,49.95,2,50.10,1,12.47
785,3530,晶相光,"596,903",582,"71,200,038",120.00,121.50,118.00,118.00,-,4.5,117.50,25,118.00,1,12.22
786,3532,台勝科,"1,823,978","3,930","486,435,794",269.00,272.00,262.50,262.50,-,13.5,262.50,32,264.00,1,76.53
787,3533,嘉澤,"635,259","1,176","468,496,173",763.00,764.00,724.00,727.00,-,43.0,726.00,14,728.00,2,24.72
788,3535,晶彩科,"5,605,396","2,547","107,872,834",19.85,19.85,18.35,18.35,-,1.75,18.35,6,18.50,67,0.00
789,3536,誠創,"6,000",2,"35,700",5.95,5.95,5.95,5.95, ,0.0,5.75,3,5.95,7,0.00
790,3543,州巧,"58,020",50,"1,479,218",25.50,26.00,25.30,25.30,-,0.2,25.30,4,25.50,11,9.44
791,3545,敦泰,"3,812,463","3,442","574,141,716",152.50,153.00,148.50,149.50,-,4.5,149.50,44,150.00,51,6.05
792,3550,聯穎,"263,555",183,"4,678,872",18.05,18.05,17.65,17.65,-,0.5,17.65,11,17.70,3,12.01
793,3557,嘉威,"33,104",33,"2,516,757",76.10,76.80,75.70,75.70,-,1.0,75.70,9,75.80,1,9.53
794,3563,牧德,"360,913",411,"86,637,715",246.50,246.50,237.00,237.00,-,10.0,237.00,1,237.50,1,13.28
795,3576,聯合再生,"4,808,183","2,380","98,067,232",20.55,20.70,20.20,20.30,-,0.3,20.25,160,20.30,50,0.00
796,3583,辛耘,"8,545,840","6,315","843,706,506",101.00,103.00,96.00,96.00,-,7.0,95.90,3,96.00,19,19.20
797,3588,通嘉,"1,701,490","1,990","230,956,595",138.50,138.50,133.00,134.00,-,6.0,134.00,5,134.50,25,29.78
798,3591,艾笛森,"619,785",341,"12,816,012",21.00,21.05,20.45,20.45,-,0.85,20.40,15,20.45,7,24.06
799,3592,瑞鼎,"2,263,098","3,256","1,495,331,380",655.00,676.00,650.00,655.00,-,24.0,654.00,5,655.00,5,18.06
800,3593,力銘,"54,017",52,"841,458",15.70,15.80,15.40,15.50,-,0.2,15.50,1,15.65,3,23.13
801,3596,智易,"2,443,734","2,476","295,476,307",123.00,123.50,119.00,119.50,-,5.0,119.50,44,120.00,97,13.55
802,3605,宏致,"1,206,100",839,"56,782,922",47.20,47.45,46.70,47.30,-,0.7,47.20,2,47.30,6,11.34
803,3607,谷崧,"1,324,900",674,"21,711,980",16.50,16.75,16.05,16.10,-,0.65,16.10,11,16.20,2,0.00
804,3617,碩天,"91,379",61,"6,324,746",69.50,69.50,69.00,69.00,-,0.5,69.00,2,69.10,2,21.30
805,3622,洋華,"184,003",116,"4,959,780",27.40,27.40,26.85,26.90,-,0.35,26.90,11,26.95,2,18.18
806,3645,達邁,"724,914",684,"30,853,149",43.50,43.50,42.15,42.15,-,1.75,42.15,4,42.20,2,16.34
807,3653,健策,"715,434",691,"279,134,939",385.00,397.00,384.00,384.00,-,6.5,383.50,3,384.00,68,45.82
808,3661,世芯-KY,"2,069,751","2,299","1,953,850,766",952.00,966.00,921.00,921.00,-,55.0,920.00,28,921.00,13,47.21
809,3665,貿聯-KY,"5,068,319","4,241","1,339,202,902",252.00,268.00,252.00,264.50,+,3.0,264.50,51,265.00,10,17.20
810,3669,圓展,"605,299",430,"37,024,983",61.20,62.50,60.10,60.40,-,1.7,60.40,4,60.50,6,6.86
811,3673,TPK-KY,"1,664,207","1,118","67,178,038",40.85,40.85,40.00,40.10,-,0.9,40.10,6,40.15,7,13.69
812,3679,新至陞,"17,350",122,"1,507,259",87.00,87.40,86.70,86.70,-,0.9,86.70,1,87.00,2,8.57
813,3682,亞太電,"3,299,085","1,312","26,661,037",8.16,8.16,8.04,8.08,-,0.11,8.07,43,8.09,187,0.00
814,3686,達能,"522,311",300,"7,395,558",14.50,14.50,14.00,14.00,-,0.5,14.00,8,14.05,4,0.00
815,3694,海華,"384,838",231,"9,350,400",24.40,24.65,24.05,24.05,-,0.6,24.00,133,24.05,1,15.03
816,3701,大眾控,"3,658,402","2,694","220,667,083",61.00,61.70,59.10,59.90,-,2.1,59.90,5,60.00,7,56.51
817,3702,大聯大,"5,828,507","2,575","316,088,760",54.40,54.50,53.90,54.30,-,0.4,54.20,105,54.30,130,9.38
818,3702A,大聯大甲特,"64,577",32,"3,215,925",49.80,49.85,49.80,49.80, ,0.0,49.75,1,49.80,4,0.00
819,3703,欣陸,"554,970",331,"13,209,348",23.85,24.10,23.65,23.70,-,0.3,23.65,41,23.70,28,13.94
820,3704,合勤控,"5,660,282","3,101","171,756,165",31.15,31.15,29.80,29.80,-,1.7,29.80,71,29.85,5,9.74
821,3705,永信,"176,543",128,"7,556,229",42.75,42.95,42.70,42.70,-,0.1,42.70,23,42.75,28,15.76
822,3706,神達,"4,609,654","2,414","153,750,044",33.60,33.65,33.10,33.10,-,0.65,33.05,150,33.10,60,3.21
823,3708,上緯投控,"382,566",334,"35,065,289",91.90,93.00,90.90,90.90,-,1.6,90.60,3,90.90,3,43.49
824,3711,日月光投控,"24,833,579","12,875","2,536,156,907",104.00,104.50,101.00,101.50,-,4.0,101.00,"1,345",101.50,4,10.18
825,3712,永崴投控,"1,117,239",792,"36,198,163",33.10,33.10,32.00,32.05,-,1.25,32.05,13,32.10,1,16.35
826,3714,富采,"48,457,494","32,116","4,547,941,587",94.60,95.60,91.50,91.80,-,4.7,91.70,96,91.80,14,0.00
827,4104,佳醫,"403,830",347,"23,076,278",57.60,57.60,57.00,57.10,-,0.6,57.10,7,57.30,3,13.96
828,4106,雃博,"259,288",210,"7,337,637",28.15,28.65,28.15,28.15, ,0.0,28.15,6,28.20,27,26.06
829,4108,懷特,"427,529",359,"9,014,295",21.25,21.50,20.85,20.95,-,0.35,20.95,1,21.00,9,0.00
830,4119,旭富,"259,010",421,"21,547,406",83.50,84.30,82.60,83.00,-,0.5,82.80,1,83.00,2,0.00
831,4133,亞諾法,"6,574,215","4,270","322,515,569",47.50,51.30,47.50,48.50,+,1.0,48.45,38,48.50,142,74.62
832,4137,麗豐-KY,"291,600",273,"62,337,485",211.50,217.50,211.00,212.00,+,1.5,211.00,8,212.00,2,12.59
833,4141,龍燈-KY,"665,664",270,"16,825,259",25.35,25.35,25.20,25.30, ,0.0,25.25,89,25.30,29,0.00
834,4142,國光生,"3,019,394","1,723","131,053,578",43.55,44.20,42.80,42.80,-,0.15,42.80,4,42.85,3,18.61
835,4148,全宇生技-KY,"22,002",21,"892,832",41.45,41.45,40.10,40.55,-,0.9,40.45,1,40.55,1,16.90
836,4155,訊映,"207,051",952,"4,791,835",23.25,23.25,23.05,23.10,-,0.2,23.10,2,23.20,3,27.18
837,4164,承業醫,"197,843",133,"7,210,273",36.50,36.70,36.30,36.30,-,0.15,36.30,18,36.35,1,19.31
838,4190,佐登-KY,"27,042",31,"1,887,891",70.10,70.10,69.60,69.60,-,0.5,69.60,3,69.80,3,12.68
839,4306,炎洲,"1,184,377",518,"17,848,839",15.15,15.15,15.00,15.05,-,0.1,15.05,3,15.10,2,26.88
840,4414,如興,"4,672,803","1,252","30,177,746",6.50,6.54,6.42,6.43,-,0.12,6.43,45,6.44,100,0.00
841,4426,利勤,"234,139",196,"5,176,942",22.30,22.45,22.00,22.00,-,0.6,22.00,9,22.05,1,0.00
842,4438,廣越,"29,422",35,"3,607,926",122.00,123.50,122.00,122.00,-,1.5,122.00,22,122.50,1,22.26
843,4439,冠星-KY,"7,000",7,"920,000",131.00,131.50,131.00,131.50,X,0.0,131.00,1,131.50,1,10.88
844,4440,宜新實業,"128,138",81,"5,954,534",46.30,46.65,46.30,46.35, ,0.0,46.35,2,46.40,3,11.47
845,4526,東台,"216,958",303,"3,519,663",16.30,16.40,16.15,16.15,-,0.15,16.15,16,16.20,28,0.00
846,4532,瑞智,"373,162",240,"6,957,620",18.80,18.80,18.60,18.60,-,0.2,18.55,40,18.60,3,13.98
847,4536,拓凱,"105,170",138,"14,226,256",137.00,137.00,134.50,134.50,-,3.5,134.50,6,135.00,2,16.17
848,4540,全球傳動,"117,030",97,"5,388,837",46.35,46.35,46.00,46.05,-,0.45,46.05,1,46.10,3,18.57
849,4545,銘鈺,"43,000",20,"1,186,950",27.60,27.65,27.60,27.65, ,0.0,27.65,1,27.70,1,24.91
850,4551,智伸科,"184,383",176,"28,713,690",157.50,157.50,155.00,156.00,-,1.5,156.00,11,156.50,5,14.89
851,4552,力達-KY,"103,151",60,"3,347,149",32.75,32.75,32.25,32.45,-,0.5,32.40,2,32.50,4,11.43
852,4555,氣立,"13,000",13,"681,700",53.60,53.60,52.20,52.20,-,0.9,52.00,2,52.40,2,15.58
853,4557,永新-KY,"51,460",47,"3,853,434",74.90,74.90,74.80,74.80,-,0.1,74.70,3,74.80,1,19.43
854,4560,強信-KY,"65,001",27,"2,683,341",41.55,41.55,41.15,41.35,-,0.2,41.35,1,41.40,1,17.30
855,4562,穎漢,"291,474",103,"4,543,296",15.75,15.80,15.50,15.65,-,0.15,15.60,5,15.65,11,0.00
856,4564,元翎,"467,804",310,"18,009,740",38.75,38.90,38.20,38.20,-,0.8,38.10,17,38.20,5,19.69
857,4566,時碩工業,"67,003",50,"3,012,848",45.40,45.50,44.55,44.70,-,0.7,44.70,1,44.95,1,17.88
858,4571,鈞興-KY,"52,788",81,"4,929,268",93.00,93.70,92.90,92.90,-,0.8,92.90,2,93.00,5,10.36
