,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1107,910322,康師傅-DR,"5,000",4,"140,100",27.50,28.30,27.50,28.30,+,0.85,27.70,1,28.45,4,0.00
1108,9105,泰金寶-DR,"5,100,148","1,100","24,553,631",4.84,4.87,4.78,4.82,-,0.03,4.81,63,4.82,106,0.00
1109,910861,神州-DR,"517,001",79,"4,348,748",8.31,8.51,8.29,8.50,+,0.03,8.38,8,8.50,3,0.00
1110,9110,越南控-DR,"127,096",51,"385,677",3.00,3.09,3.00,3.05,+,0.02,3.04,9,3.05,48,0.00
1111,911608,明輝-DR,"116,000",43,"418,000",3.63,3.65,3.55,3.61,+,0.02,3.59,1,3.61,4,0.00
1112,911622,泰聚亨-DR,"100,231",30,"601,525",6.00,6.03,5.99,5.99,-,0.01,5.99,86,6.02,36,0.00
1113,911868,同方友友-DR,"208,000",41,"269,860",1.29,1.31,1.29,1.31,+,0.02,1.30,19,1.31,50,0.00
1114,912000,晨訊科-DR,"636,000",137,"2,000,530",3.17,3.20,3.12,3.13,-,0.06,3.13,14,3.15,16,0.00
1115,9136,巨騰-DR,"473,000",122,"2,835,110",5.97,6.02,5.95,6.01,+,0.04,6.00,1,6.01,9,0.00
1116,9188,精熙-DR,"672,000",77,"2,278,730",3.40,3.40,3.39,3.40, ,0.0,3.39,100,3.40,70,0.00
1117,9802,鈺齊-KY,"570,763",637,"58,512,931",102.50,103.50,102.00,102.00,-,0.5,102.00,62,102.50,4,19.25
1118,9902,台火,"269,663",79,"3,562,934",13.35,13.35,13.15,13.15,-,0.05,13.15,2,13.20,1,11.34
1119,9904,寶成,"4,940,106","1,832","161,477,634",32.65,32.90,32.55,32.55,-,0.2,32.55,82,32.65,45,7.17
1120,9905,大華,"52,284",55,"1,371,177",26.30,26.30,26.15,26.20,-,0.1,26.25,3,26.30,67,13.51
1121,9906,欣巴巴,"80,250",49,"4,778,249",59.30,60.00,59.30,59.40,-,0.4,59.40,1,59.50,4,29.26
